MeterID,Assigned,time,F,kWa,kWb,kWc,kWtotal
33,ITC (Accuvim),2017-10-27 05:49:07,60.01,40.184,38.879,36.707,115.77
33,ITC (Accuvim),2017-10-27 06:04:04,60.01,40.541,40.984,37.121,118.645
33,ITC (Accuvim),2017-10-27 06:19:05,59.99,39.726,38.617,36.869,115.212
33,ITC (Accuvim),2017-10-27 06:34:32,60.02,39.605,38.601,36.101,114.306
33,ITC (Accuvim),2017-10-27 06:49:23,59.97,39.386,38.667,36.001,114.055
33,ITC (Accuvim),2017-10-27 07:04:14,60.01,39.562,38.894,36.117,114.573
33,ITC (Accuvim),2017-10-27 07:19:08,60,39.713,38.652,36.173,114.539
33,ITC (Accuvim),2017-10-27 07:34:11,60,41.118,41.872,37.611,120.602
33,ITC (Accuvim),2017-10-27 07:49:44,60,39.482,38.631,36.081,114.194
33,ITC (Accuvim),2017-10-27 08:04:10,60,39.495,38.613,36.073,114.181
33,ITC (Accuvim),2017-10-27 08:19:22,59.99,39.919,38.713,36.07,114.702
